"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify opening LinkedIn link","6855","Verify LinkedIn link","Default Suite","2026-01-02","passed","2026-01-02","tests.LinksTest","automation-testing-project","tests.LinksTest","verifyLinkedInLink"
"Verify Opening course details page","3938","Open course details page","Default Suite","2026-01-02","passed","2026-01-02","tests.CourseTests","automation-testing-project","tests.CourseTests","clickAllCoursesTest"
"Verify search works with valid Arabic keyword","1681","Search with valid Arabic keyword","Default Suite","2026-01-02","passed","2026-01-02","tests.SearchTests","automation-testing-project","tests.SearchTests","searchWithValidKeyword"
"Verify login and course subscription flow","6160","End-to-End: Login and subscribe to a course","Default Suite","2026-01-02","passed","2026-01-02","tests.EndToEndTest","automation-testing-project","tests.EndToEndTest","endToEndScenario"
"Verify Login with empty fields","447","Login with empty fields","Default Suite","2026-01-02","passed","2026-01-02","tests.LoginTest","automation-testing-project","tests.LoginTest","loginWithEmptyFields"
"Verify course card UI elements","3969","Verify course card UI elements","Default Suite","2026-01-02","passed","2026-01-02","tests.CourseTests","automation-testing-project","tests.CourseTests","verifyCourseCardUI"
"Verify opening Facebook link","6388","Verify Facebook link","Default Suite","2026-01-02","passed","2026-01-02","tests.LinksTest","automation-testing-project","tests.LinksTest","verifyFacebookLink"
"Verify Register with empty username field","941","Register with empty username field","Default Suite","2026-01-02","passed","2026-01-02","tests.SignUpTest","automation-testing-project","tests.SignUpTest","signupWithEmptyUsername"
"Verify opening Instagram link","7010","Verify Instagram link","Default Suite","2026-01-02","passed","2026-01-02","tests.LinksTest","automation-testing-project","tests.LinksTest","verifyInstagramLink"
"Verify Login with invalid credentials","674","Login with invalid credentials","Default Suite","2026-01-02","passed","2026-01-02","tests.LoginTest","automation-testing-project","tests.LoginTest","loginWithInvalidCredentials"
"Verify Opening registration page","10142","Open registration page","Default Suite","2026-01-02","passed","2026-01-02","tests.SignUpTest","automation-testing-project","tests.SignUpTest","openSignupPage"
